x_m,r_m,pressure_pa,pressure_over_pc,cf_t,yplus
-0.01369267,0.01635825,1705782.0,0.328035,14584.44894231238,1.51588
-0.01354533,0.0162732,1708350.0,0.32852884615384614,14853.087252444442,1.523773
-0.013398,0.01618814,1711556.0,0.3291453846153846,15152.322561277739,1.533017
-0.01325067,0.01610308,1715082.0,0.32982346153846154,15478.45908114663,1.543294
-0.01310333,0.01601802,1718557.0,0.3304917307692308,15826.33253653926,1.554156
-0.012956,0.01593296,1721571.0,0.33107134615384615,16188.177092673062,1.565081
-0.01280867,0.0158479,1723680.0,0.33147692307692306,16554.528828574177,1.575451
-0.01266133,0.01576285,1724457.0,0.3316263461538462,16914.965674744042,1.58464
-0.012514,0.01567779,1723553.0,0.3314525,17258.96330786843,1.592067
-0.01236667,0.01559273,1720739.0,0.33091134615384615,17576.449154410373,1.597259
-0.01221933,0.01550767,1715915.0,0.32998365384615386,17859.854929594352,1.599894
-0.012072,0.01542261,1709111.0,0.3286751923076923,18104.27618564129,1.599837
-0.01192467,0.01533755,1700493.0,0.3270178846153846,18308.179774053853,1.597141
-0.01177733,0.01525249,1690356.0,0.32506846153846153,18473.98586165983,1.592083
-0.01163,0.01516743,1679078.0,0.32289961538461537,18607.197748539817,1.585057
-0.01148267,0.01508237,1667044.0,0.3205853846153846,18714.976114117897,1.576557
-0.01133533,0.01499731,1654602.0,0.3181926923076923,18806.804815327723,1.567103
-0.011188,0.01491224,1642078.0,0.3157842307692308,18890.78363882027,1.557165
-0.01104067,0.01482718,1629757.0,0.3134148076923077,18975.00698112513,1.547173
-0.01089333,0.01474212,1617859.0,0.31112673076923075,19066.164490202158,1.537468
-0.010746,0.01465706,1606512.0,0.3089446153846154,19168.999210692484,1.52827
-0.01059867,0.014572,1595757.0,0.3068763461538462,19286.97686750765,1.51971
-0.01045133,0.01448694,1585582.0,0.3049196153846154,19421.83496729375,1.511838
-0.010304,0.01440189,1575962.0,0.3030696153846154,19575.92090257887,1.504719
-0.01015667,0.01431683,1566877.0,0.3013225,19749.812169478024,1.498318
-0.01000933,0.01423177,1558289.0,0.2996709615384615,19942.732194156833,1.492605
-0.009862,0.01414671,1550135.0,0.2981028846153846,20154.66263796648,1.487515
-0.009714667,0.01406165,1542365.0,0.29660865384615387,20384.24277313486,1.482949
-0.009567333,0.01397659,1534983.0,0.2951890384615385,20631.58639610419,1.478918
-0.00942,0.01389153,1527993.0,0.2938448076923077,20897.659986705286,1.475432
-0.009272667,0.01380648,1521357.0,0.2925686538461538,21183.278064072478,1.472471
-0.009125333,0.01372142,1515008.0,0.2913476923076923,21488.888030438717,1.469991
-0.008978,0.01363636,1508925.0,0.29017788461538463,21814.776380099367,1.467994
-0.008830667,0.0135513,1503117.0,0.28906096153846156,22163.149905017708,1.466523
-0.008683333,0.01346624,1497578.0,0.28799576923076925,22534.919104490316,1.46556
-0.008536,0.01338118,1492286.0,0.2869780769230769,22932.140503657487,1.465117
-0.008388667,0.01329612,1487200.0,0.286,23354.691161138635,1.465142
-0.008241333,0.01321106,1482291.0,0.2850559615384615,23804.346452919694,1.465628
-0.008094,0.013126,1477544.0,0.28414307692307694,24282.89907631383,1.46659
